Fold,IoU,Precision,Recall,F1 score,TP,FP,FN,Kiln instances,mAP_cfcbk,mAP_fcbk,mAP_zigzag
0,0.33,0.38,0.38,0.38,83.0,133.0,133.0,216.0,0.0,0.15,0.37
1,0.33,0.43,0.43,0.43,103.0,137.0,137.0,240.0,0.1,0.33,0.51
2,0.33,0.39,0.39,0.39,89.0,142.0,142.0,231.0,0.11,0.2,0.5
3,0.33,0.5,0.5,0.5,129.0,131.0,131.0,260.0,0.0,0.38,0.57
mean ± std,-,0.43 ± 0.05,0.43 ± 0.05,0.43 ± 0.05,101.00 ± 20.46,135.75 ± 4.86,135.75 ± 4.86,236.75 ± 18.39,0.05 ± 0.06,0.27 ± 0.11,0.49 ± 0.08
