filename,Tree cover,Grassland,Cropland,Built-up,Bare / sparse vegetation,Permanent water bodies,Herbaceous wetland,Shrubland
23.9903_90.2482.png,39.32,4.44,6.3,49.35,0.57,0.03,0.0,0.0
23.9227_90.1158.png,36.17,5.43,51.03,4.46,1.86,0.02,1.04,0.0
24.0227_90.3982.png,73.63,0.13,21.74,4.25,0.24,0.0,0.0,0.0
24.1491_89.9692.png,29.09,0.0,70.64,0.27,0.0,0.0,0.0,0.0
23.8815_89.8806.png,21.58,0.79,77.55,0.07,0.0,0.01,0.01,0.0
23.9079_89.9307.png,32.12,0.2,66.2,0.15,0.07,1.23,0.03,0.0
24.0579_90.3306.png,67.75,0.31,26.07,1.1,0.02,4.74,0.0,0.0
24.1815_90.4658.png,51.35,0.46,46.74,1.43,0.0,0.02,0.0,0.0
23.7491_90.2982.png,23.96,2.31,72.35,1.08,0.18,0.0,0.11,0.0
23.7815_90.4692.png,11.24,4.34,48.67,2.38,12.2,9.41,11.77,0.0
23.9693_90.3894.png,31.36,0.71,11.43,56.15,0.32,0.04,0.0,0.0
24.1727_89.9395.png,25.15,0.0,74.67,0.16,0.0,0.0,0.02,0.0
23.9727_90.4192.png,57.39,0.07,39.08,3.43,0.02,0.0,0.0,0.0
24.1693_90.4070.png,63.43,2.61,32.21,1.49,0.27,0.0,0.0,0.0
23.9079_90.2806.png,34.09,7.34,37.29,20.11,1.18,0.0,0.0,0.0
24.1693_89.9158.png,41.26,0.57,55.14,0.57,0.09,2.37,0.0,0.0
23.9903_89.9659.png,18.54,0.0,81.33,0.12,0.0,0.0,0.0,0.0
24.1579_90.4658.png,64.86,0.36,34.61,0.0,0.17,0.0,0.0,0.0
23.8815_90.4658.png,48.52,1.07,42.18,1.82,0.26,5.94,0.2,0.0
23.9491_90.3982.png,41.97,2.08,39.22,16.3,0.39,0.04,0.01,0.0
23.8903_89.9307.png,14.1,1.47,80.87,0.09,0.06,3.41,0.0,0.0
23.9727_89.8806.png,22.47,0.0,76.49,0.43,0.0,0.24,0.36,0.0
23.9727_90.1158.png,65.0,0.58,33.64,0.73,0.0,0.01,0.04,0.0
23.8693_90.0482.png,40.38,0.66,58.89,0.06,0.0,0.0,0.01,0.0
23.9815_89.8894.png,16.95,0.05,82.63,0.35,0.0,0.01,0.0,0.0
24.0315_90.1895.png,35.52,0.66,58.03,1.17,0.07,1.48,3.07,0.0
24.0193_90.0659.png,62.44,0.31,37.13,0.12,0.0,0.0,0.0,0.0
24.0227_90.1983.png,32.89,3.96,57.27,1.91,1.55,2.38,0.04,0.0
23.6727_90.4482.png,10.02,2.33,3.95,49.56,5.43,28.71,0.0,0.0
23.6903_90.0894.png,41.3,0.21,58.42,0.03,0.01,0.0,0.03,0.0
23.9403_90.4070.png,51.34,0.17,43.46,4.98,0.02,0.0,0.03,0.0
23.9193_90.0806.png,31.76,12.12,44.69,5.33,5.54,0.24,0.31,0.0
24.0579_90.2394.png,88.52,0.6,6.39,2.93,0.11,1.45,0.0,0.0
23.6991_90.1158.png,82.14,0.45,16.72,0.69,0.0,0.0,0.0,0.0
23.7491_90.1693.png,23.58,0.0,76.01,0.41,0.0,0.0,0.0,0.0
24.0491_90.3658.png,63.38,0.13,34.55,1.87,0.07,0.0,0.0,0.0
23.9079_90.0306.png,30.85,1.74,66.05,0.45,0.71,0.06,0.13,0.0
23.8815_89.9982.png,45.47,1.22,49.48,0.84,2.81,0.0,0.18,0.0
24.1991_90.0894.png,11.92,0.07,85.21,1.46,0.0,0.0,1.33,0.0
23.6815_90.1570.png,30.91,0.05,68.78,0.2,0.0,0.0,0.06,0.0
23.8991_90.0659.png,45.48,1.77,51.92,0.76,0.01,0.01,0.06,0.0
24.0315_89.9894.png,28.39,1.36,69.05,0.02,0.52,0.67,0.0,0.0
23.6693_89.8806.png,0.06,1.39,91.23,0.0,1.07,6.25,0.01,0.0
23.7693_90.1807.png,54.66,0.0,44.78,0.56,0.0,0.0,0.0,0.0
23.8079_89.9483.png,32.09,0.0,66.99,0.01,0.0,0.0,0.91,0.0
24.1693_89.9395.png,28.79,0.0,70.9,0.29,0.0,0.0,0.02,0.0
24.0815_89.9158.png,12.39,2.71,71.65,0.06,4.59,8.6,0.0,0.0
23.8903_90.2394.png,48.41,0.82,48.39,1.96,0.08,0.02,0.32,0.0
24.1815_89.9659.png,3.65,0.0,96.28,0.02,0.0,0.0,0.05,0.0
23.9079_89.9070.png,37.72,0.26,61.49,0.53,0.0,0.0,0.0,0.0
24.1727_90.4482.png,81.84,0.45,16.75,0.55,0.4,0.0,0.0,0.0
23.8491_90.2306.png,23.42,3.19,72.64,0.73,0.02,0.0,0.0,0.0
23.7579_89.8982.png,23.83,0.0,72.87,0.12,0.0,0.0,3.18,0.0
24.2079_90.0982.png,11.55,0.04,85.37,0.57,0.0,0.01,2.46,0.0
23.8991_90.0158.png,35.28,0.26,63.9,0.18,0.37,0.01,0.0,0.0
23.8079_90.4070.png,40.88,2.18,5.23,48.78,1.45,1.49,0.0,0.0
23.7693_89.9806.png,0.54,0.0,94.55,0.0,0.0,0.0,4.91,0.0
23.9579_89.8982.png,10.72,0.01,89.05,0.21,0.0,0.01,0.0,0.0
23.6991_90.1394.png,26.17,0.01,72.61,0.61,0.57,0.01,0.04,0.0
24.0227_90.2306.png,55.71,0.12,33.68,6.61,0.0,0.0,3.88,0.0
24.1227_90.3692.png,39.25,3.04,49.64,5.19,0.99,0.26,1.63,0.0
23.7579_89.9395.png,33.84,0.02,64.19,0.09,0.0,0.0,1.87,0.0
23.8226_90.0806.png,65.27,1.52,32.44,0.46,0.07,0.24,0.0,0.0
23.8579_90.4394.png,45.19,6.83,25.55,15.87,1.28,2.14,3.13,0.01
23.6991_90.3192.png,23.87,3.59,69.85,2.11,0.11,0.43,0.04,0.0
23.9491_90.3306.png,3.82,0.02,91.82,0.19,0.0,0.15,3.99,0.0
24.0193_90.2482.png,69.12,0.54,12.5,17.26,0.41,0.17,0.0,0.0
