Fold,IoU,Precision,Recall,F1 score,TP,FP,FN,Kiln instances,mAP_cfcbk,mAP_fcbk,mAP_zigzag
0,0.33,0.63,0.63,0.63,244.0,146.0,146.0,390.0,0.0,0.05,0.73
1,0.33,0.71,0.71,0.71,237.0,98.0,98.0,335.0,0.0,0.07,0.76
2,0.33,0.71,0.71,0.71,225.0,94.0,94.0,319.0,0.0,0.0,0.76
3,0.33,0.69,0.69,0.69,231.0,105.0,105.0,336.0,0.0,0.05,0.74
mean ± std,-,0.68 ± 0.04,0.68 ± 0.04,0.68 ± 0.04,234.25 ± 8.14,110.75 ± 23.94,110.75 ± 23.94,345.00 ± 30.99,0.00 ± 0.00,0.04 ± 0.03,0.75 ± 0.02
