Fold,IoU,Precision,Recall,F1 score,TP,FP,FN,Kiln instances,mAP_cfcbk,mAP_fcbk,mAP_zigzag
0,0.33,0.22,0.22,0.22,18.0,62.0,62.0,80.0,0,0.02,0.2
1,0.33,0.25,0.25,0.25,23.0,69.0,69.0,92.0,0,0.0,0.31
2,0.33,0.31,0.31,0.31,28.0,63.0,63.0,91.0,0,0.04,0.36
3,0.33,0.27,0.27,0.27,24.0,65.0,65.0,89.0,0,0.0,0.32
mean ± std,-,0.26 ± 0.04,0.26 ± 0.04,0.26 ± 0.04,23.25 ± 4.11,64.75 ± 3.10,64.75 ± 3.10,88.00 ± 5.48,0.00 ± 0.00,0.01 ± 0.02,0.30 ± 0.07
